Geneid	Chr	Start	End	Strand	Length	sample1	sample2	sample3	sample4
YGL083W	VII	353058	355472	+	2415	33	30	66	77
tC(GCA)G	VII	707108	707179	-	72	0	0	0	0
YGR071C	VII	631481	634063	-	2583	39	33	39	44
YGR259C	VII	1012481	1012921	-	441	0	0	0	0
YGR058W	VII	606136	607143	+	1008	14	11	17	31
YGL195W	VII	131525	139543	+	8019	398	313	498	520
YGL192W	VII	142246	144048	+	1803	0	0	0	0
YGL206C	VII	102543	107504	-	4962	184	150	290	298
YGR060W	VII	610564	611493	+	930	335	318	537	625
YGL257C	VII	12481	14157	-	1677	45	43	61	83
YGL236C	VII	53787	55796	-	2010	47	42	35	44
YGR138C	VII	763762	765606	-	1845	78	72	35	32
YGR015C	VII	521090	522076	-	987	16	11	35	33
YGL023C	VII	450197	452104	-	1908	190	172	334	352
YGL144C	VII	232450	234507	-	2058	16	17	28	27
YGL071W	VII	372012	374084	+	2073	63	46	103	123
tK(CUU)G3	VII	876394	876466	+	73	0	0	0	0
YGR080W	VII	642010	643008	+	999	77	59	84	110
YGL116W	VII	289809	291641	+	1833	48	38	58	73
YGR035C	VII	557072	557422	-	351	42	41	6	6
YGL201C	VII	117854	120907	-	3054	59	67	131	165
YGR212W	VII	917040	918446	+	1407	18	9	24	19
YGR154C	VII	796798	797868	-	1071	12	18	15	27
YGL241W	VII	45445	48459	+	3015	47	38	48	53
YGL262W	VII	5312	5839	+	528	1	0	3	2
YGR247W	VII	984966	985685	+	720	46	43	104	117
YGR199W	VII	897502	899781	+	2280	59	52	99	103
YGL260W	VII	6860	7090	+	231	0	0	0	0
YGR179C	VII	853675	854895	-	1221	18	22	51	57
YGR011W	VII	512497	512823	+	327	1	0	11	18
YGL111W	VII	299978	301369	+	1392	44	49	91	77
snR39B	VII	366374	366469	-	96	3	0	2	4
YGR073C	VII	635615	635986	-	372	0	0	0	0
YGR155W	VII	798543	800066	+	1524	539	505	465	540
YGL114W	VII	293460	295637	+	2178	69	70	112	140
YGL255W	VII	20978	22108	+	1131	153	124	78	80
YGR066C	VII	620921	621799	-	879	3	4	12	11
YGR233C	VII	954674	958210	-	3537	105	95	53	63
YGR092W	VII	668189	669907	+	1719	61	66	80	91
YGL041W-A	VII	418825	419289	+	465	5	7	21	14
YGR171C	VII	840824	842551	-	1728	18	13	47	34
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	0	0	0	0
YGL171W	VII	182390	184084	+	1695	23	21	23	17
YGL029W	VII	440063	440425	+	363	24	22	38	32
YGR040W	VII	575398	576504	+	1107	23	24	63	60
YGR220C	VII	936074	936883	-	810	25	26	34	49
YGR268C	VII	1026057	1026653	-	597	92	109	109	129
YGL147C	VII	227754	228329	-	576	1367	1252	1570	1712
tK(CUU)G1	VII	122269	122341	+	73	0	0	0	0
YGR144W	VII	780399	781379	+	981	4	7	18	17
YGR178C	VII	851047	853215	-	2169	225	219	474	542
YGR113W	VII	718893	719924	+	1032	34	19	61	49
YGL203C	VII	112475	114664	-	2190	116	119	184	203
YGL048C	VII	410069	411286	-	1218	302	287	484	498
YGR207C	VII	910843	911628	-	786	70	51	115	155
YGR258C	VII	1007671	1010766	-	3096	54	82	131	135
YGL091C	VII	342056	343042	-	987	34	26	62	67
YGR093W	VII	670388	671911	+	1524	30	25	45	69
YGR119C	VII	728046	729671	-	1626	89	78	152	165
YGR213C	VII	918512	919465	-	954	16	16	15	24
YGR061C	VII	611889	615965	-	4077	650	606	453	508
YGL182C	VII	157273	157596	-	324	0	0	0	3
YGR139W	VII	765726	766064	+	339	1	0	1	1
YGR121C	VII	731449	732927	-	1479	77	78	101	127
YGL043W	VII	417483	418412	+	930	60	54	72	95
YGR280C	VII	1050910	1051725	-	816	51	51	57	58
YGL085W	VII	349616	350440	+	825	15	19	34	37
YGL031C	VII	437467	437934	-	468	566	512	855	888
YGR117C	VII	725049	726479	-	1431	40	38	72	85
YGR254W	VII	1000927	1002240	+	1314	4120	3748	5387	5710
YGR235C	VII	961360	962061	-	702	80	57	143	146
YGL124C	VII	274780	276714	-	1935	30	24	64	82
YGR236C	VII	962530	962817	-	288	3	0	7	8
YGL164C	VII	191978	193300	-	1323	51	63	110	114
YGR293C	VII	1079885	1080346	-	462	0	0	1	1
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	0	0	0	0
YGR264C	VII	1019598	1021853	-	2256	236	233	280	299
YGL234W	VII	56482	58890	+	2409	707	647	435	431
YGL109W	VII	303513	303836	+	324	3	2	5	6
YGL238W	VII	49552	52434	+	2883	91	80	134	161
YGL041C-B	VII	418704	418886	-	183	0	0	0	0
YGR056W	VII	601661	604447	+	2787	47	36	100	102
YGR201C	VII	902520	903197	-	678	32	21	46	48
YGR239C	VII	969187	970053	-	867	18	16	18	39
YGR169C-A	VII	836387	836665	-	279	37	32	65	96
YGR185C	VII	866336	867520	-	1185	226	220	318	351
YGR189C	VII	876669	878192	-	1524	575	563	1263	1483
YGR022C	VII	529257	529586	-	330	0	0	0	1
YGR290W	VII	1075482	1075925	+	444	0	1	0	2
YGL205W	VII	108158	110404	+	2247	11	6	17	18
tK(CUU)G2	VII	185714	185786	-	73	0	0	0	0
YGL221C	VII	81426	82292	-	867	142	97	190	198
YGL108C	VII	303649	304071	-	423	10	6	22	20
YGL069C	VII	375050	375514	-	465	0	0	0	0
YGL135W	VII	254641	255294	+	654	410	401	609	622
YGR253C	VII	998358	999140	-	783	303	288	545	555
YGL053W	VII	402589	403302	+	714	19	25	45	51
YGL101W	VII	312193	312840	+	648	28	20	39	39
YGR271C-A	VII	1037800	1038501	-	702	7	4	10	8
YGR267C	VII	1025004	1025735	-	732	199	147	282	331
YGR234W	VII	959904	961103	+	1200	515	481	53	53
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	18	19	29	32
YGL141W	VII	238353	241085	+	2733	46	42	85	78
YGL245W	VII	39023	41149	+	2127	748	658	1258	1303
YGL007W	VII	483260	483637	+	378	1	0	11	3
YGL005C	VII	489708	490547	-	840	32	22	61	79
YGL215W	VII	87981	89339	+	1359	113	104	178	196
YGR173W	VII	843854	844960	+	1107	40	39	37	41
YGL249W	VII	33098	35212	+	2115	0	0	1	0
YGR161W-C	VII	810227	810505	+	279	49	42	121	133
YGR229C	VII	949382	950899	-	1518	101	122	188	194
YGR070W	VII	627806	631273	+	3468	84	96	118	120
YGR135W	VII	761392	762168	+	777	313	288	559	583
YGL014C-A	VII	466237	466398	-	162	0	0	0	0
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	2	2	9	9
YGL258W	VII	11110	11730	+	621	2	3	6	8
tT(UGU)G1	VII	661749	661820	+	72	0	0	0	0
YGL139W	VII	245716	248124	+	2409	92	58	130	110
YGL172W	VII	180700	182118	+	1419	92	92	170	184
YGR088W	VII	654634	656322	+	1689	45	43	64	65
YGL126W	VII	270997	272139	+	1143	239	187	337	395
YGR140W	VII	767429	770299	+	2871	21	16	47	44
YGR129W	VII	750400	751047	+	648	9	17	20	22
YGL027C	VII	443642	446143	-	2502	159	136	364	389
tL(CAA)G2	VII;VII	423092;423162	423129;423205	+;+	82	0	0	0	0
YGL231C	VII	63048	63620	-	573	122	98	153	165
YGL019W	VII	458156	458992	+	837	183	174	250	273
tR(UCU)G3	VII	736340	736411	+	72	0	0	0	0
YGR017W	VII	523787	524680	+	894	71	51	81	88
YGR107W	VII	702667	703116	+	450	1	1	4	7
YGL039W	VII	423961	425007	+	1047	62	68	97	100
tL(CAA)G3	VII;VII	857378;857454	857421;857491	-;-	82	0	0	0	0
YGL123C-A	VII	277634	277864	-	231	0	0	0	0
YGL002W	VII	494517	495167	+	651	36	34	83	117
YGR044C	VII	582990	583892	-	903	73	69	58	68
YGR193C	VII	884509	885741	-	1233	119	94	180	212
YGL033W	VII;VII;VII	435625;435750;436375	435679;436312;436401	+;+;+	645	0	2	0	0
YGR165W	VII	829116	830153	+	1038	44	42	56	77
YGL030W	VII;VII	439091;439324	439093;439638	+;+	318	2284	2138	2968	3208
YGL128C	VII	269293	270144	-	852	19	21	39	32
YGL063C-A	VII	384502	384651	-	150	0	0	0	0
YGL007C-A	VII	482941	483027	-	87	0	0	3	2
YGL175C	VII	173285	174322	-	1038	4	5	6	9
YGL223C	VII	79112	80365	-	1254	26	37	61	72
YGR190C	VII	880296	880661	-	366	2	1	3	2
YGL004C	VII	490703	491956	-	1254	40	36	72	89
YGL148W	VII	226399	227529	+	1131	595	558	677	750
YGR281W	VII	1052824	1057257	+	4434	147	147	151	182
tH(GUG)G2	VII	319781	319852	+	72	0	0	0	0
tF(GAA)G	VII;VII	440716;440771	440751;440807	-;-	73	0	0	0	0
YGR078C	VII	639772	640371	-	600	49	42	51	66
YGL133W	VII	257707	261501	+	3795	58	65	114	93
tV(AAC)G2	VII	823482	823555	+	74	0	0	0	1
YGR295C	VII	1081584	1082729	-	1146	67	83	140	139
YGR048W	VII	589826	590911	+	1086	73	61	133	157
YGR065C	VII	618077	619858	-	1782	58	51	78	72
YGL051W	VII	403687	404391	+	705	3	5	10	12
YGL220W	VII	82374	82736	+	363	84	73	119	150
YGR019W	VII	525229	526644	+	1416	171	127	218	263
YGL010W	VII	475545	476069	+	525	18	17	48	49
YGL090W	VII	343319	344584	+	1266	13	25	48	42
YGR054W	VII	596693	598621	+	1929	126	127	139	176
YGR174W-A	VII	846655	846741	+	87	1	0	3	1
YGL032C	VII	436570	436833	-	264	11	16	25	35
tE(UUC)G2	VII	401527	401598	-	72	0	0	0	0
YGL179C	VII	163409	165091	-	1683	45	48	58	52
tE(UUC)G3	VII	541850	541921	+	72	0	0	0	0
YGR002C	VII	498476	499906	-	1431	24	21	48	58
YGL134W	VII	255663	256964	+	1302	32	16	45	64
YGL235W	VII	55279	55815	+	537	0	0	0	0
YGL006W	VII	485921	489442	+	3522	276	224	401	441
YGR028W	VII	542203	543291	+	1089	59	48	111	96
YGR283C	VII	1059015	1060040	-	1026	24	35	36	46
YGR249W	VII	988049	989419	+	1371	55	56	72	93
snR82	VII	316788	317055	+	268	6	9	12	20
snR7-L	VII	939459	939672	-	214	0	0	0	0
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	33	43	65	70
YGL157W	VII	209006	210049	+	1044	124	126	152	162
YGL118C	VII	288014	288451	-	438	2	3	0	4
YGR012W	VII	513159	514340	+	1182	49	46	99	115
YGR242W	VII	976415	976723	+	309	3	2	7	6
YGR014W	VII	516943	520863	+	3921	140	89	208	200
YGR038C-A	VII	566145	567467	-	1323	0	0	0	0
YGR161C-C	VII	821693	823015	-	1323	0	0	0	0
YGR027W-A	VII	536057	537379	+	1323	0	0	0	0
YGR109W-A	VII	707610	708482	+	873	0	0	0	0
YGR027W-B	VII	536057	541325	+	5269	0	0	0	0
YGR038C-B	VII	562199	567467	-	5269	0	0	0	0
YGR161C-D	VII	817747	823015	-	5269	4	3	1	1
YGR161W-A	VII	811738	813054	+	1317	0	0	0	0
YGR109W-B	VII	707610	712254	+	4645	14	9	22	31
YGR161W-B	VII	811738	817051	+	5314	0	0	0	0
YLL050C	XII;XII	39804;40401	40221;40414	-;-	432	333	325	792	883
YLL032C	XII	74270	76747	-	2478	28	16	35	34
YLR466W	XII	1067087	1071235	+	4149	0	0	0	0
YLR054C	XII;XII	248717;250948	250860;250978	-;-	2175	10	9	19	19
YLR437C	XII	1011622	1012023	-	402	87	81	111	133
YLR217W	XII	572909	573232	+	324	0	0	1	0
YLL056C	XII	27409	28305	-	897	4	13	37	41
YLR128W	XII;XII	398530;398627	398532;399433	+;+	810	17	22	22	30
YLR279W	XII	704309	704698	+	390	6	2	13	5
YLR075W	XII	282927	283592	+	666	879	766	1378	1506
YLR052W	XII	247201	247953	+	753	43	37	58	78
YLR159C-A	XII	485711	485842	-	132	0	0	0	0
YLR025W	XII	194452	195174	+	723	170	150	232	277
YLR049C	XII	243886	245172	-	1287	20	16	69	62
YLR308W	XII	747937	748875	+	939	0	0	1	0
YLR032W	XII	204991	208500	+	3510	33	31	55	46
ETS2-2	XII	460712	460922	-	211	0	0	0	0
YLR251W	XII	641464	642057	+	594	14	19	44	41
YLR321C	XII	776584	777864	-	1281	23	33	45	46
YLR327C	XII	783127	783387	-	261	579	496	153	182
YLR154C-H	XII	468827	468958	-	132	0	0	0	0
YLR247C	XII	628684	633354	-	4671	55	61	108	134
YLR167W	XII	498947	499405	+	459	4350	3967	5834	6190
YLR220W	XII	576825	577793	+	969	129	114	232	234
YLR455W	XII	1053629	1054543	+	915	15	19	32	43
YLR282C	XII	705071	705412	-	342	0	0	0	1
YLR094C	XII	327730	329238	-	1509	55	54	82	89
YLR272C	XII	683672	687202	-	3531	29	24	46	47
YLR264C-A	XII	673828	673944	-	117	52	46	32	38
YLR338W	XII	804346	805203	+	858	0	0	1	1
YLR181C	XII	516678	517670	-	993	47	53	127	139
YLR458W	XII	1056455	1056835	+	381	0	0	0	1
YLR180W	XII	515262	516410	+	1149	638	622	444	525
YLR250W	XII	640317	641021	+	705	93	70	245	262
YLR222C-A	XII	582006	582236	-	231	2	2	1	3
YLR424W	XII	973395	975521	+	2127	18	11	26	32
YLR253W	XII	642627	644336	+	1710	98	66	122	136
YLR390W-A	XII	903724	904440	+	717	551	532	972	1059
YLR233C	XII	607425	609524	-	2100	11	12	28	27
YLR347W-A	XII	824789	824929	+	141	0	0	0	0
YLR117C	XII	382471	384534	-	2064	29	21	73	77
YLR110C	XII	369697	370098	-	402	8644	7997	13145	14284
YLR072W	XII	278862	280943	+	2082	101	100	171	193
YLR069C	XII	271630	273915	-	2286	107	105	146	188
YLR403W	XII	925568	927619	+	2052	68	57	68	103
YLR008C	XII	165577	166083	-	507	39	34	37	30
YLR231C	XII	605758	607119	-	1362	35	46	94	116
YLR264W	XII	673131	673334	+	204	157	180	138	142
YLR164W	XII	493883	494389	+	507	7	16	37	38
YLR079W	XII	286820	287674	+	855	63	61	186	214
YLR103C	XII	343989	345941	-	1953	16	22	40	42
YLR170C	XII	500579	501049	-	471	0	0	0	0
YLR228C	XII	600019	602463	-	2445	114	123	190	202
YLL036C	XII	66745	68256	-	1512	48	43	67	88
YLR467C-A	XII	1077050	1077532	-	483	0	0	0	0
YLR198C	XII	547286	547645	-	360	1	1	0	2
snR61	XII	794486	794575	-	90	4	1	1	6
YLR411W	XII	947253	947978	+	726	6	6	16	13
YLR056W	XII	253861	254958	+	1098	472	390	486	545
YLR429W	XII	990777	992732	+	1956	212	189	331	366
YLL060C	XII	21138	21839	-	702	37	31	123	122
YLR310C	XII	752224	756993	-	4770	108	97	179	218
YLR342W	XII	809997	815627	+	5631	966	873	1496	1639
YLR017W	XII	177608	178621	+	1014	70	61	73	115
tL(UAG)L2	XII;XII	732090;732147	732127;732190	+;+	82	0	0	0	0
YLR304C	XII	735212	737548	-	2337	499	461	504	546
YLL052C	XII	35912	36361	-	450	12	9	6	4
YLR027C	XII	196829	198085	-	1257	417	392	781	830
YLR214W	XII	568567	570627	+	2061	143	130	123	150
ITS2-2	XII	464319	464550	-	232	0	0	0	0
YLL062C	XII	16639	17613	-	975	14	13	24	42
YLR378C	XII	875736	877178	-	1443	226	187	429	426
YLR023C	XII	185498	187129	-	1632	69	62	137	146
YLR425W	XII	982894	986817	+	3924	41	36	80	81
YLR073C	XII	281019	281621	-	603	2	4	3	3
YLL008W	XII	131729	133987	+	2259	60	60	53	68
YLL063C	XII	14648	16072	-	1425	14	17	29	25
YLR449W	XII	1030834	1032012	+	1179	218	216	307	307
YLL046C	XII	46714	47463	-	750	0	0	0	0
YLR089C	XII	318237	320015	-	1779	281	265	260	252
RDN18-1	XII	455933	457732	-	1800	0	0	0	0
YLR020C	XII	181789	183405	-	1617	48	37	106	113
YLR190W	XII	535214	536689	+	1476	61	58	76	82
YLR045C	XII	235037	237703	-	2667	64	53	132	138
YLR285W	XII	707360	708145	+	786	60	49	100	117
YLR322W	XII	777628	777942	+	315	0	0	0	0
YLR276C	XII	695046	696830	-	1785	95	85	96	98
YLR346C	XII	822287	822592	-	306	14	9	1	6
YLR156W	XII	472113	472457	+	345	0	0	0	0
YLR135W	XII	413281	415527	+	2247	27	18	48	39
YLR261C	XII	668237	668563	-	327	0	0	0	0
YLL066C	XII;XII	6120;9550	9450;9836	-;-	3618	1	1	3	0
YLR077W	XII	283872	285623	+	1752	83	67	113	133
YLR144C	XII	429677	432016	-	2340	31	49	85	91
YLR414C	XII	953353	954144	-	792	240	220	631	679
YLR030W	XII	203290	204081	+	792	9	7	21	25
YLR301W	XII	730825	731559	+	735	141	129	285	255
YLR252W	XII	641957	642262	+	306	3	10	22	15
YLR427W	XII	988428	990440	+	2013	80	77	143	148
YLR200W	XII	549012	549356	+	345	45	35	71	71
YLR150W	XII	440467	441288	+	822	2082	1888	2416	2770
YLL021W	XII	100947	105347	+	4401	110	123	251	254
YLR078C	XII;XII	285736;286557	286467;286559	-;-	735	46	32	97	99
YLR153C	XII	445524	447575	-	2052	454	400	777	796
YLR404W	XII	928743	929600	+	858	16	15	23	36
YLR014C	XII	172268	174982	-	2715	8	9	8	10
YLL005C	XII	137940	140546	-	2607	20	10	28	36
tQ(UUG)L	XII	448650	448721	-	72	0	0	0	0
YLR262C	XII	668244	668891	-	648	27	21	50	51
YLR296W	XII	722978	723304	+	327	0	0	2	0
YLR234W	XII	609783	611753	+	1971	15	18	14	19
YLR096W	XII	332590	336033	+	3444	91	81	119	149
YLR271W	XII	682737	683561	+	825	21	26	43	50
YLR033W	XII	208761	210269	+	1509	51	28	89	102
YLR278C	XII	699999	704024	-	4026	86	93	171	188
YLL055W	XII	30109	31704	+	1596	24	22	48	67
YLR266C	XII	675619	677724	-	2106	35	31	78	69
YLL030C	XII	80356	80697	-	342	0	1	0	0
YLR323C	XII	778173	778952	-	780	12	10	30	32
YLR007W	XII	164392	165402	+	1011	49	43	75	99
YLR406C-A	XII	932206	932355	-	150	0	0	1	0
YLL015W	XII	116432	121111	+	4680	140	136	244	285
YLR343W	XII	816094	817761	+	1668	26	23	30	40
YLR269C	XII	680866	681216	-	351	3	5	8	12
tN(GUU)L	XII	975983	976056	-	74	0	0	0	0
YLR210W	XII	562008	563390	+	1383	13	6	28	34
YLR058C	XII	257992	259401	-	1410	957	900	222	242
YLR145W	XII	432168	432773	+	606	18	10	27	25
YLR080W	XII	287916	289250	+	1335	23	22	74	74
YLR443W	XII	1022625	1023971	+	1347	57	40	73	88
YLR325C	XII	781143	781379	-	237	590	531	981	1106
YLL006W	XII	136586	137866	+	1281	29	21	33	44
YLR074C	XII	281956	282456	-	501	77	84	108	108
RDN5-5	XII	485697	485815	+	119	0	0	0	0
YLR311C	XII	757265	757612	-	348	1	0	1	4
YLR191W	XII	537272	538432	+	1161	22	36	63	66
YLR235C	XII	611532	611930	-	399	0	0	0	0
YLR364C-A	XII	855523	855645	-	123	0	0	0	0
ITS2-1	XII	455182	455413	-	232	0	0	0	0
YLR288C	XII	713480	714904	-	1425	32	46	61	71
YLL001W	XII	147890	150163	+	2274	60	58	115	143
YLR409C	XII	934414	937233	-	2820	44	46	36	61
YLR099C	XII	339744	340928	-	1185	72	76	101	101
YLR131C	XII	404510	406822	-	2313	60	66	85	98
YLR362W	XII	849866	852019	+	2154	44	40	86	88
YLR256W	XII	646415	650923	+	4509	286	257	346	357
YLR068W	XII	271008	271463	+	456	4	6	13	17
YLR101C	XII	342566	342961	-	396	2	5	9	8
YLR341W	XII	807385	808818	+	1434	3	3	8	14
YLL054C	XII	32673	35204	-	2532	13	14	29	22
YLR186W	XII	523632	524390	+	759	52	65	86	85
YLR143W	XII	427329	429386	+	2058	29	35	59	45
YLR368W	XII	857540	859336	+	1797	35	23	59	85
YLR393W	XII	907079	907918	+	840	10	14	27	30
YLR176C	XII	507797	510232	-	2436	38	45	46	61
YLR126C	XII	394765	395520	-	756	19	19	65	60
YLR099W-A	XII	341325	341588	+	264	54	59	126	153
YLR423C	XII	971917	973170	-	1254	11	10	24	22
YLR357W	XII	841331	844000	+	2670	48	35	54	81
YLR197W	XII	546097	547611	+	1515	179	176	229	220
ETS1-1	XII	457733	458432	-	700	0	0	0	0
YLR187W	XII	524865	527945	+	3081	40	13	59	49
RDN5-2	XII	468813	468931	+	119	0	0	0	0
YLL034C	XII	70633	73146	-	2514	35	24	23	39
YLL023C	XII	97997	98836	-	840	106	116	262	288
YLR065C	XII	266373	266918	-	546	82	70	150	164
YLL031C	XII	77152	80205	-	3054	58	51	109	129
YLR419W	XII	958428	962735	+	4308	23	29	37	39
YLR149C-A	XII	440370	440456	-	87	3	6	5	6
YLR294C	XII	721701	722030	-	330	19	17	42	47
YLR405W	XII	929789	930892	+	1104	28	35	60	61
YLR157C-C	XII	482059	482190	-	132	0	0	0	0
YLR463C	XII	1066265	1066816	-	552	0	0	0	0
YLR026C	XII	195450	196472	-	1023	50	50	96	110
YLR267W	XII	678212	679924	+	1713	33	36	45	41
YLR093C	XII;XII	326513;327400	327258;327415	-;-	762	114	83	233	242
YLR085C	XII	300673	301989	-	1317	44	40	104	93
YLR246W	XII	627118	628197	+	1080	21	28	60	62
YLR433C	XII	1004347	1006008	-	1662	28	21	68	64
YLR227C	XII	590562	592043	-	1482	20	25	35	36
YLR012C	XII	169982	170281	-	300	0	0	4	2
YLR111W	XII	370391	370723	+	333	0	1	28	20
YLR152C	XII	442958	444688	-	1731	60	55	59	85
YLR370C	XII	861718	862254	-	537	86	91	135	150
YLL026W	XII	88623	91349	+	2727	1180	1064	867	943
YLR289W	XII	715089	717026	+	1938	14	16	33	41
YLL066W-B	XII	5605	5775	+	171	0	0	0	0
YLR114C	XII	374944	377238	-	2295	140	141	206	248
YLR213C	XII	566654	567922	-	1269	14	9	61	49
YLR146C	XII	432823	433725	-	903	36	37	60	58
YLR445W	XII;XII	1024189;1024655	1024572;1024837	+;+	567	0	0	1	0
RDN18-2	XII	465070	466869	-	1800	0	0	0	0
YLR169W	XII	500335	500688	+	354	11	10	28	23
YLR202C	XII;XII	550194;550575	550458;550636	-;-	327	1	0	2	6
YLL053C	XII	35503	35961	-	459	16	16	11	9
YLR333C	XII	795573	795899	-	327	310	273	473	579
YLR082C	XII	292394	293572	-	1179	15	12	31	41
YLR193C	XII	540009	540536	-	528	21	15	48	80
YLL043W	XII	49938	51947	+	2010	206	179	451	504
YLR337C	XII	802653	805106	-	2454	261	244	241	283
YLL066W-A	XII	6486	6968	+	483	0	0	0	0
YLR039C	XII	225426	228596	-	3171	41	21	69	84
YLR457C	XII	1055812	1056771	-	960	6	9	20	15
YLR377C	XII	873746	874792	-	1047	8	9	23	23
YLR104W	XII	346585	346980	+	396	37	24	77	66
YLR319C	XII	769318	771684	-	2367	35	35	72	86
YLR184W	XII	522106	522453	+	348	0	1	1	1
YLR317W	XII	765655	766089	+	435	0	0	0	0
YLL003W	XII	143201	146041	+	2841	28	24	72	68
YLR004C	XII	157934	159505	-	1572	5	10	23	38
YLR407W	XII	932967	933653	+	687	9	10	37	49
YLR336C	XII	799697	802396	-	2700	17	14	23	32
YLR430W	XII	993434	1000129	+	6696	115	102	203	229
YLR436C	XII	1007421	1011245	-	3825	98	90	182	167
YLR347C	XII	823828	826413	-	2586	80	79	91	114
YLR324W	XII	779215	780786	+	1572	87	93	196	209
tV(AAC)L	XII	687859	687932	-	74	0	0	0	0
YLR460C	XII	1059757	1060887	-	1131	6	8	12	10
YLR113W	XII	371620	372927	+	1308	373	360	507	544
YLR046C	XII	238001	238813	-	813	12	18	40	53
YLR125W	XII	393484	393894	+	411	8	3	8	7
YLR196W	XII	543968	545698	+	1731	116	124	136	171
YLR363W-A	XII	853461	853718	+	258	7	10	5	17
YLL061W	XII	17956	19707	+	1752	71	73	184	182
YLR119W	XII	385534	386175	+	642	14	15	32	35
snR57	XII	794937	795024	-	88	1	2	4	2
YLL020C	XII	105556	105861	-	306	0	0	2	4
YLR163C	XII	491866	493254	-	1389	52	52	101	97
YLL014W	XII	121322	121648	+	327	37	30	76	86
YLR129W	XII	399657	402488	+	2832	36	39	51	51
tD(GUC)L2	XII	793918	793989	+	72	0	0	0	1
YLR173W	XII	502421	504247	+	1827	71	51	93	94
YLR090W	XII	320701	322080	+	1380	74	62	92	98
YLR286W-A	XII	708562	708696	+	135	0	0	0	0
snR55	XII	794697	794794	-	98	2	2	0	0
YLR259C	XII	663284	665002	-	1719	723	677	841	885
YLR219W	XII	574151	576337	+	2187	143	129	230	277
YLR401C	XII	922442	924448	-	2007	55	46	97	98
YLL058W	XII	23569	25296	+	1728	66	51	101	115
YLR177W	XII	511054	512940	+	1887	244	214	280	318
YLR415C	XII	954259	954597	-	339	1	1	2	4
YLR467W	XII	1072508	1077898	+	5391	0	0	0	0
YLR302C	XII	732191	732553	-	363	0	0	0	0
YLR185W	XII;XII	522663;523029	522669;523288	+;+	267	492	424	743	819
YLR060W	XII	260979	262766	+	1788	375	362	490	506
YLR313C	XII	760750	762342	-	1593	8	7	22	27
YLR303W	XII	732542	733876	+	1335	0	0	0	0
YLR154W-B	XII	454392	454556	+	165	0	0	0	0
YLL029W	XII	81461	83710	+	2250	154	152	271	333
YLL047W	XII	46672	47055	+	384	0	0	0	1
YLR285C-A	XII	708168	708338	-	171	8	16	8	14
YLR001C	XII	151389	153977	-	2589	42	37	93	98
snR79	XII	348427	348510	-	84	1	2	0	0
YLR465C	XII	1067045	1067353	-	309	0	0	0	0
YLR015W	XII	175227	176744	+	1518	35	20	50	51
YLR432W	XII	1002557	1004128	+	1572	320	281	385	390
YLR081W	XII	290212	291936	+	1725	7	13	18	18
YLR166C	XII	495429	498044	-	2616	37	33	84	84
YLR383W	XII	885288	888632	+	3345	41	30	97	106
YLR035C	XII	212369	214456	-	2088	27	27	44	34
YLR044C	XII	232390	234081	-	1692	14479	13296	15921	17685
YLR293C	XII	720771	721430	-	660	730	625	1074	1184
YLR399W-A	XII	920869	920973	+	105	0	0	0	0
YLR192C	XII	538792	539589	-	798	296	255	593	647
YLR300W	XII	728955	730301	+	1347	623	597	413	406
YLR098C	XII	337527	339473	-	1947	18	16	44	47
YLR448W	XII;XII	1028854;1029253	1028868;1029768	+;+	531	327	278	370	410
YLR381W	XII	879723	881924	+	2202	24	30	48	34
YLR280C	XII	704483	704833	-	351	0	0	0	0
snR44	XII	856710	856920	+	211	9	10	15	16
YLR367W	XII;XII	856442;857058	856574;857317	+;+	393	283	235	483	520
YLR309C	XII	749034	751769	-	2736	58	55	118	169
YLR299W	XII	726069	728051	+	1983	114	81	180	188
YLR224W	XII	586464	587573	+	1110	91	97	210	227
YLR029C	XII	201976	202590	-	615	1658	1445	2444	2551
YLR373C	XII	868662	871367	-	2706	47	45	81	97
YLR092W	XII	323544	326225	+	2682	54	48	122	126
YLL018C-A	XII	108676	108972	-	297	52	32	62	66
RDN25-2	XII	460923	464318	-	3396	0	0	0	0
YLR066W	XII	267169	267723	+	555	77	72	153	167
RDN58-1	XII	455414	455571	-	158	0	0	0	0
YLR146W-A	XII	433870	434058	+	189	12	11	27	31
YLR175W	XII	506134	507585	+	1452	466	425	476	477
YLR402W	XII	924889	925080	+	192	1	1	2	2
YLR158C	XII	482549	483637	-	1089	0	0	0	0
YLL051C	XII	37333	39471	-	2139	83	79	120	119
YLR314C	XII	762575	764137	-	1563	190	201	405	439
YLR438C-A	XII	1013909	1014178	-	270	120	115	210	222
YLR209C	XII	560797	561732	-	936	52	42	98	120
YLR019W	XII	180288	181481	+	1194	163	135	237	260
YLR123C	XII	391078	391407	-	330	2	0	3	2
YLR353W	XII	834352	836163	+	1812	41	33	61	82
YLR361C	XII	847388	849124	-	1737	35	29	42	60
YLL033W	XII	73409	74101	+	693	5	3	5	12
YLR389C	XII	899577	902660	-	3084	123	102	232	242
YLR438W	XII	1012501	1013775	+	1275	99	80	48	46
